run_id,topic_id,attempt,seconds,word_count,accepted,reason,prompt_sha,finish_reason,reasoning_tokens,completion_tokens,cost,generation_id
20260820T085435Z,N01_CoastTrain,1,145,801,True,,985ca48bdfb15f66,stop,79,2832,0.0430925,gen-1787216075-OcFABoAeHCsN9wIgP5Lx
20260820T085435Z,N02_Peradeniya,1,132,727,True,,0607a078d8a80a0f,stop,96,2594,0.0395625,gen-1787216221-pdppA8l4qmN95w9CCFG4
20260820T085435Z,N03_GalleFort,1,150,793,True,,379c503ff947f22d,stop,298,3020,0.045955,gen-1787216351-Da1h2F6G9MVErXBxVtfk
20260820T085435Z,N04_Avurudu,1,132,703,False,too_short (703 < 720),f2e0f93137394983,stop,48,2434,0.0371325,gen-1787216502-duB3oRYJF0T7qVUEK4LE
20260820T085435Z,N04_Avurudu,2,156,806,True,,f2e0f93137394983,stop,106,2878,0.0437925,gen-1787216636-CKTRmCZo7DdxahgQWE62
20260820T085435Z,N07_Rajarata,1,131,734,True,,d37386601c789b36,stop,42,2497,0.03804,gen-1787216792-kfnuAky9YBlHuoUVSLDl
20260820T085435Z,N09_Vesak,1,130,762,True,,0ef7c15f2f7bb3dc,stop,94,2642,0.0401975,gen-1787216922-dmdOg5ix1gouG0eUmmsB
20260820T085435Z,N10_Mirissa,1,194,0,False,no_content,7c9cc88a1766cfe5,network_fail,,,,
20260820T085435Z,N10_Mirissa,2,134,773,True,,7c9cc88a1766cfe5,stop,44,2623,0.0399075,gen-1787217248-DvaPmD3EwEa4IKwtf3mP
20260820T085435Z,N12_ITNightShift,1,146,805,True,,9a9852dfcce59a29,stop,105,2814,0.0427925,gen-1787217382-0FWUN00JkRpJlcOn5pKN
20260820T085435Z,N14_FloodRelief,1,131,718,False,too_short (718 < 720),42d04ce760480587,stop,110,2667,0.040595,gen-1787217528-mGwxzuvCCe9dG8Jc4Yn9
20260820T085435Z,N14_FloodRelief,2,153,804,True,,42d04ce760480587,stop,81,2933,0.044585,gen-1787217661-66WPaFMmZ3VByZRsjjit
20260820T085435Z,N15_Airport,1,148,815,True,,e01a33b615d2ed7b,stop,95,2932,0.0445475,gen-1787217814-S0IBJXMDAuyGxTnuTkax
